F1,Accuracy,Precision,Recall,Features
0.695283089,0.755272408,0.721536414,0.717051196,tcp;dns;classicstun
0.652045294,0.681898067,0.784129561,0.657721946,tcp;dns;ntp
0.399750681,0.483743409,0.462798925,0.433076402,tcp;mdns;quic
0.800312106,0.842706503,0.812013111,0.822993996,tcp;mdns;ssl
0.465871246,0.521089631,0.529963068,0.501261446,tcp;mdns;bootp
0.468944386,0.526801406,0.518444576,0.505120978,tcp;mdns;ssdp
0.472359602,0.559753954,0.509372052,0.501182044,tcp;mdns;classicstun
0.418144857,0.484182777,0.626461253,0.431028956,tcp;mdns;ntp
0.873268997,0.886203866,0.895366501,0.895222014,tcp;quic;ssl
0.453050438,0.515817223,0.592633277,0.486558798,tcp;quic;bootp
0.46579283,0.516695958,0.534650925,0.501320978,tcp;quic;ssdp
0.446961231,0.533831283,0.552290841,0.47910659,tcp;quic;classicstun
0.470261837,0.519771529,0.734658849,0.479947783,tcp;quic;ntp
0.918688002,0.944200351,0.92337727,0.925886779,tcp;ssl;bootp
0.809093815,0.842706503,0.827316726,0.831295313,tcp;ssl;ssdp
0.820864637,0.854130053,0.85501204,0.843792059,tcp;ssl;classicstun
0.825353275,0.853251318,0.848202919,0.846296413,tcp;ssl;ntp
0.60881189,0.645869947,0.783232711,0.637440698,tcp;bootp;ssdp
0.593349319,0.662126538,0.689866537,0.618241387,tcp;bootp;classicstun
0.538058072,0.577768014,0.761535414,0.545364425,tcp;bootp;ntp
0.536238441,0.601054482,0.578582094,0.568135285,tcp;ssdp;classicstun
0.549260319,0.575571178,0.684187627,0.562978178,tcp;ssdp;ntp
0.539469459,0.594024605,0.69924908,0.543345969,tcp;classicstun;ntp
0.690714726,0.732425308,0.859686286,0.69753502,http;mqtt;dns
0.333377622,0.380931459,0.571471075,0.338907111,http;mqtt;mdns
0.366894088,0.421353251,0.600430974,0.386517702,http;mqtt;quic
0.84693812,0.85456942,0.888954743,0.865778439,http;mqtt;ssl
0.362180792,0.431019332,0.595814433,0.381545563,http;mqtt;bootp
0.461467289,0.510984183,0.602158669,0.489633904,http;mqtt;ssdp
0.384523128,0.452108963,0.520009551,0.407315404,http;mqtt;classicstun
0.396346875,0.456063269,0.729629249,0.394851073,http;mqtt;ntp
0.621908786,0.680579965,0.74523291,0.631469915,http;dns;mdns
0.686795881,0.725834798,0.844393295,0.69231076,http;dns;quic
0.81287685,0.826010545,0.864110044,0.829388569,http;dns;ssl
0.740696236,0.780755712,0.920302132,0.744724573,http;dns;bootp
0.741530132,0.767135325,0.786381227,0.750524745,http;dns;ssdp
0.637244033,0.710896309,0.754835983,0.662777927,http;dns;classicstun
0.637153045,0.66827768,0.817700561,0.645411171,http;dns;ntp
0.334695103,0.392794376,0.577143473,0.342351258,http;mdns;quic
0.749781304,0.800966608,0.765779611,0.782874189,http;mdns;ssl
0.399634187,0.433216169,0.602951559,0.409075217,http;mdns;bootp
0.437324487,0.480667838,0.533757229,0.458329537,http;mdns;ssdp
0.361937123,0.423550088,0.571546559,0.376228996,http;mdns;classicstun
0.380150541,0.41168717,0.695550622,0.365260384,http;mdns;ntp
0.825741286,0.85940246,0.83413735,0.845533824,http;quic;ssl
0.363440923,0.431019332,0.594662899,0.381873856,http;quic;bootp
0.470587465,0.536467487,0.602520357,0.497605277,http;quic;ssdp
0.388157046,0.469683656,0.553623157,0.408292575,http;quic;classicstun
0.407934115,0.466608084,0.778560955,0.402645315,http;quic;ntp
0.905996142,0.917398946,0.914465914,0.917174807,http;ssl;bootp
0.757448898,0.805360281,0.776142668,0.785406843,http;ssl;ssdp
0.787610022,0.812829525,0.851155599,0.8086103,http;ssl;classicstun
0.765508576,0.811072056,0.782645435,0.792289655,http;ssl;ntp
0.53469944,0.581282953,0.69840799,0.561440903,http;bootp;ssdp
0.451742941,0.51142355,0.802028391,0.470339604,http;bootp;classicstun
0.482076108,0.512302285,0.789584898,0.476885417,http;bootp;ntp
0.485512012,0.570738137,0.572077003,0.518738279,http;ssdp;classicstun
0.491302127,0.544376098,0.699805836,0.493046924,http;ssdp;ntp
0.429624345,0.492091388,0.616342877,0.432576392,http;classicstun;ntp
0.660115882,0.676625659,0.799421142,0.662899623,mqtt;dns;mdns
0.728147076,0.755272408,0.795383345,0.726474318,mqtt;dns;quic
0.848493861,0.851054482,0.934835129,0.858871675,mqtt;dns;ssl
0.726748342,0.75483304,0.795289534,0.724626228,mqtt;dns;bootp
0.824214636,0.791739895,0.923934761,0.817306816,mqtt;dns;ssdp
0.690419255,0.739894552,0.719022821,0.711004705,mqtt;dns;classicstun
0.670576258,0.664762742,0.852172478,0.669601958,mqtt;dns;ntp
0.317981572,0.342706503,0.401967285,0.34864718,mqtt;mdns;quic
0.837747424,0.826889279,0.911131726,0.855798212,mqtt;mdns;ssl
0.315224099,0.35456942,0.572373415,0.342356647,mqtt;mdns;bootp
